"Step","prior10-4cycle - train_metric","prior10-4cycle - train_metric__MIN","prior10-4cycle - train_metric__MAX"
"167","0.7638","0.7638","0.7638"
"168","0.76316","0.76316","0.76316"
"169","0.76836","0.76836","0.76836"
"170","0.76728","0.76728","0.76728"
"171","0.76412","0.76412","0.76412"
"172","0.76456","0.76456","0.76456"
"173","0.76404","0.76404","0.76404"
"174","0.76228","0.76228","0.76228"
"175","0.76628","0.76628","0.76628"
"176","0.76612","0.76612","0.76612"
"177","0.77156","0.77156","0.77156"
"178","0.7686","0.7686","0.7686"
"179","0.76636","0.76636","0.76636"
"180","0.76288","0.76288","0.76288"
"181","0.76692","0.76692","0.76692"
"182","0.76324","0.76324","0.76324"
"183","0.76624","0.76624","0.76624"
"184","0.76364","0.76364","0.76364"
"185","0.7612","0.7612","0.7612"
"186","0.76236","0.76236","0.76236"
"187","0.7644","0.7644","0.7644"
"188","0.763","0.763","0.763"
"189","0.76368","0.76368","0.76368"
"190","0.76252","0.76252","0.76252"
"191","0.76372","0.76372","0.76372"
"192","0.76568","0.76568","0.76568"
"193","0.76768","0.76768","0.76768"
"194","0.7602","0.7602","0.7602"
"195","0.76616","0.76616","0.76616"
"196","0.76472","0.76472","0.76472"
"197","0.76296","0.76296","0.76296"
"198","0.76396","0.76396","0.76396"
"199","0.76364","0.76364","0.76364"
"200","0.7658","0.7658","0.7658"
"201","0.76356","0.76356","0.76356"
"202","0.76524","0.76524","0.76524"
"203","0.76412","0.76412","0.76412"
"204","0.76404","0.76404","0.76404"
"205","0.7608","0.7608","0.7608"
"206","0.76452","0.76452","0.76452"
"207","0.76184","0.76184","0.76184"
"208","0.76764","0.76764","0.76764"
"209","0.76916","0.76916","0.76916"
"210","0.7622","0.7622","0.7622"
"211","0.76244","0.76244","0.76244"
"212","0.76236","0.76236","0.76236"
"213","0.76032","0.76032","0.76032"
"214","0.76736","0.76736","0.76736"
"215","0.76124","0.76124","0.76124"
"216","0.75992","0.75992","0.75992"
"217","0.767","0.767","0.767"
"218","0.76216","0.76216","0.76216"
"219","0.76468","0.76468","0.76468"
"220","0.76672","0.76672","0.76672"
"221","0.769","0.769","0.769"
"222","0.7622","0.7622","0.7622"
"223","0.76344","0.76344","0.76344"
"224","0.76452","0.76452","0.76452"
"225","0.76364","0.76364","0.76364"
"226","0.76112","0.76112","0.76112"
"227","0.764","0.764","0.764"
"228","0.7658","0.7658","0.7658"
"229","0.76648","0.76648","0.76648"
"230","0.76796","0.76796","0.76796"
"231","0.76448","0.76448","0.76448"
"232","0.76636","0.76636","0.76636"
"233","0.761","0.761","0.761"
"234","0.76348","0.76348","0.76348"
"235","0.76564","0.76564","0.76564"
"236","0.76556","0.76556","0.76556"
"237","0.7604","0.7604","0.7604"
"238","0.76504","0.76504","0.76504"
"239","0.76724","0.76724","0.76724"
"240","0.76224","0.76224","0.76224"
"241","0.76456","0.76456","0.76456"
"242","0.7622","0.7622","0.7622"
"243","0.7622","0.7622","0.7622"
"244","0.76248","0.76248","0.76248"
"245","0.76376","0.76376","0.76376"
"246","0.76856","0.76856","0.76856"
"247","0.7644","0.7644","0.7644"
"248","0.763","0.763","0.763"
"249","0.76292","0.76292","0.76292"
"250","0.76908","0.76908","0.76908"
"251","0.7646","0.7646","0.7646"
"252","0.7614","0.7614","0.7614"
"253","0.76524","0.76524","0.76524"
"254","0.75984","0.75984","0.75984"
"255","0.76356","0.76356","0.76356"
"256","0.7616","0.7616","0.7616"
"257","0.76696","0.76696","0.76696"
"258","0.76484","0.76484","0.76484"
"259","0.76332","0.76332","0.76332"
"260","0.76464","0.76464","0.76464"
"261","0.76392","0.76392","0.76392"
"262","0.76048","0.76048","0.76048"
"263","0.7644","0.7644","0.7644"
"264","0.7668","0.7668","0.7668"
"265","0.76196","0.76196","0.76196"
"266","0.76208","0.76208","0.76208"
"267","0.76156","0.76156","0.76156"
"268","0.76472","0.76472","0.76472"
"269","0.76384","0.76384","0.76384"
"270","0.76496","0.76496","0.76496"
"271","0.76308","0.76308","0.76308"
"272","0.7612","0.7612","0.7612"
"273","0.76592","0.76592","0.76592"
"274","0.7656","0.7656","0.7656"
"275","0.7618","0.7618","0.7618"
"276","0.76428","0.76428","0.76428"
"277","0.76352","0.76352","0.76352"
"278","0.76316","0.76316","0.76316"
"279","0.76808","0.76808","0.76808"
"280","0.76444","0.76444","0.76444"
"281","0.76636","0.76636","0.76636"
"282","0.76676","0.76676","0.76676"
"283","0.76452","0.76452","0.76452"
"284","0.76068","0.76068","0.76068"
"285","0.76464","0.76464","0.76464"
"286","0.76104","0.76104","0.76104"
"287","0.76328","0.76328","0.76328"
"288","0.76328","0.76328","0.76328"
"289","0.76388","0.76388","0.76388"
"290","0.76028","0.76028","0.76028"
"291","0.76188","0.76188","0.76188"
"292","0.76172","0.76172","0.76172"
"293","0.7654","0.7654","0.7654"
"294","0.76368","0.76368","0.76368"
"295","0.76508","0.76508","0.76508"
"296","0.76588","0.76588","0.76588"
"297","0.76448","0.76448","0.76448"
"298","0.76128","0.76128","0.76128"
"299","0.7606","0.7606","0.7606"
"300","0.7574","0.7574","0.7574"
"301","0.76168","0.76168","0.76168"
"302","0.76576","0.76576","0.76576"
"303","0.7644","0.7644","0.7644"
"304","0.76488","0.76488","0.76488"
"305","0.76708","0.76708","0.76708"
"306","0.75936","0.75936","0.75936"
"307","0.76728","0.76728","0.76728"
"308","0.76616","0.76616","0.76616"
"309","0.76132","0.76132","0.76132"
"310","0.76236","0.76236","0.76236"
"311","0.76324","0.76324","0.76324"
"312","0.76408","0.76408","0.76408"
"313","0.7664","0.7664","0.7664"
"314","0.76804","0.76804","0.76804"
"315","0.76596","0.76596","0.76596"
"316","0.76272","0.76272","0.76272"
"317","0.761","0.761","0.761"
"318","0.76536","0.76536","0.76536"
"319","0.76552","0.76552","0.76552"
"320","0.7598","0.7598","0.7598"
"321","0.76008","0.76008","0.76008"
"322","0.7668","0.7668","0.7668"
"323","0.76628","0.76628","0.76628"
"324","0.7612","0.7612","0.7612"
"325","0.7618","0.7618","0.7618"
"326","0.76396","0.76396","0.76396"
"327","0.76656","0.76656","0.76656"
"328","0.76032","0.76032","0.76032"
"329","0.76492","0.76492","0.76492"
"330","0.76432","0.76432","0.76432"
"331","0.76024","0.76024","0.76024"
"332","0.75556","0.75556","0.75556"
"333","0.76596","0.76596","0.76596"
"334","0.76772","0.76772","0.76772"
