"Step","prior5-4cycle - train_metric","prior5-4cycle - train_metric__MIN","prior5-4cycle - train_metric__MAX"
"166","0.77008","0.77008","0.77008"
"167","0.76624","0.76624","0.76624"
"168","0.7724","0.7724","0.7724"
"169","0.77032","0.77032","0.77032"
"170","0.76776","0.76776","0.76776"
"171","0.77136","0.77136","0.77136"
"172","0.77352","0.77352","0.77352"
"173","0.77272","0.77272","0.77272"
"174","0.77072","0.77072","0.77072"
"175","0.76816","0.76816","0.76816"
"176","0.76936","0.76936","0.76936"
"177","0.77048","0.77048","0.77048"
"178","0.76712","0.76712","0.76712"
"179","0.774","0.774","0.774"
"180","0.77152","0.77152","0.77152"
"181","0.76608","0.76608","0.76608"
"182","0.77248","0.77248","0.77248"
"183","0.77568","0.77568","0.77568"
"184","0.77264","0.77264","0.77264"
"185","0.77008","0.77008","0.77008"
"186","0.76224","0.76224","0.76224"
"187","0.77","0.77","0.77"
"188","0.77152","0.77152","0.77152"
"189","0.77056","0.77056","0.77056"
"190","0.78176","0.78176","0.78176"
"191","0.77424","0.77424","0.77424"
"192","0.77496","0.77496","0.77496"
"193","0.76752","0.76752","0.76752"
"194","0.77336","0.77336","0.77336"
"195","0.77576","0.77576","0.77576"
"196","0.7756","0.7756","0.7756"
"197","0.77056","0.77056","0.77056"
"198","0.77184","0.77184","0.77184"
"199","0.77344","0.77344","0.77344"
"200","0.77048","0.77048","0.77048"
"201","0.77088","0.77088","0.77088"
"202","0.77888","0.77888","0.77888"
"203","0.77568","0.77568","0.77568"
"204","0.77064","0.77064","0.77064"
"205","0.7796","0.7796","0.7796"
"206","0.774","0.774","0.774"
"207","0.77024","0.77024","0.77024"
"208","0.7684","0.7684","0.7684"
"209","0.77696","0.77696","0.77696"
"210","0.7672","0.7672","0.7672"
"211","0.7704","0.7704","0.7704"
"212","0.77152","0.77152","0.77152"
"213","0.77264","0.77264","0.77264"
"214","0.76984","0.76984","0.76984"
"215","0.76536","0.76536","0.76536"
"216","0.7732","0.7732","0.7732"
"217","0.77552","0.77552","0.77552"
"218","0.77248","0.77248","0.77248"
"219","0.77312","0.77312","0.77312"
"220","0.77128","0.77128","0.77128"
"221","0.77816","0.77816","0.77816"
"222","0.7728","0.7728","0.7728"
"223","0.76816","0.76816","0.76816"
"224","0.77248","0.77248","0.77248"
"225","0.77504","0.77504","0.77504"
"226","0.77736","0.77736","0.77736"
"227","0.77536","0.77536","0.77536"
"228","0.76808","0.76808","0.76808"
"229","0.77456","0.77456","0.77456"
"230","0.77248","0.77248","0.77248"
"231","0.77376","0.77376","0.77376"
"232","0.7704","0.7704","0.7704"
"233","0.77048","0.77048","0.77048"
"234","0.77752","0.77752","0.77752"
"235","0.76752","0.76752","0.76752"
"236","0.77168","0.77168","0.77168"
"237","0.77296","0.77296","0.77296"
"238","0.77064","0.77064","0.77064"
"239","0.77632","0.77632","0.77632"
"240","0.77448","0.77448","0.77448"
"241","0.76928","0.76928","0.76928"
"242","0.77648","0.77648","0.77648"
"243","0.7744","0.7744","0.7744"
